"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","osteoblast differentiation","3","52","138","19512","5.06e-2","4.86e-1","8.16","1.00e+0","4.73e-1","5.94e-3","COL1A1,COL6A1,IGFBP2"
"GOTERM_BP_DIRECT","postsynaptic actin cytoskeleton organization","2","52","21","19512","5.35e-2","4.91e-1","35.74","1.00e+0","4.77e-1","1.42e-3","MYH10,ACTB"
"GOTERM_BP_DIRECT","actin filament-based movement","2","52","21","19512","5.35e-2","4.91e-1","35.74","1.00e+0","4.77e-1","1.42e-3","MYH9,MYH10"
"GOTERM_BP_DIRECT","regulation of mitotic spindle organization","2","52","21","19512","5.35e-2","4.91e-1","35.74","1.00e+0","4.77e-1","1.42e-3","DYNC1H1,DCTN1"
"GOTERM_BP_DIRECT","Schwann cell development","2","52","21","19512","5.35e-2","4.91e-1","35.74","1.00e+0","4.77e-1","1.42e-3","DAG1,LAMC1"
"GOTERM_BP_DIRECT","regulation of synaptic vesicle endocytosis","2","52","22","19512","5.60e-2","4.96e-1","34.11","1.00e+0","4.82e-1","1.56e-3","ROCK1,ACTB"
"GOTERM_BP_DIRECT","stress fiber assembly","2","52","22","19512","5.60e-2","4.96e-1","34.11","1.00e+0","4.82e-1","1.56e-3","ZYX,RHOA"
"GOTERM_BP_DIRECT","myelination in peripheral nervous system","2","52","22","19512","5.60e-2","4.96e-1","34.11","1.00e+0","4.82e-1","1.56e-3","COL6A1,DAG1"
"GOTERM_BP_DIRECT","skeletal muscle tissue regeneration","2","52","26","19512","6.58e-2","5.77e-1","28.86","1.00e+0","5.61e-1","2.17e-3","COL6A1,DAG1"
"GOTERM_BP_DIRECT","neuron projection development","3","52","162","19512","6.71e-2","5.81e-1","6.95","1.00e+0","5.65e-1","9.22e-3","ROCK1,CDH1,MYH10"
"GOTERM_BP_DIRECT","hippo signaling","2","52","28","19512","7.07e-2","5.89e-1","26.80","1.00e+0","5.72e-1","2.52e-3","YAP1,SAV1"
