"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","apical junction complex","3","53","31","20808","2.72e-3","1.99e-2","37.99","4.61e-1","1.65e-2","6.67e-5","CDH1,RHOA,ACTB"
"GOTERM_CC_DIRECT","cytoplasmic side of plasma membrane","4","53","114","20808","2.91e-3","2.07e-2","13.78","4.84e-1","1.71e-2","2.03e-4","CDH1,MYH9,MYH10,RHOA"
"GOTERM_CC_DIRECT","cell periphery","4","53","116","20808","3.06e-3","2.10e-2","13.54","5.01e-1","1.74e-2","2.17e-4","KRT19,KRT18,HSPG2,RHOA"
"GOTERM_CC_DIRECT","spindle","5","53","246","20808","3.31e-3","2.21e-2","7.98","5.29e-1","1.83e-2","4.01e-4","DCTN1,MYH9,HMMR,MYH10,EMD"
"GOTERM_CC_DIRECT","cytoplasm","30","53","7749","20808","4.96e-3","3.15e-2","1.52","6.76e-1","2.61e-2","3.19e-3","YAP1,ROCK1,DCTN1,PXN,MT1X,HMMR,ACTB,SAV1,CRKL,CDH3,CDH1,C1QBP,DAG1,FLNA,FLNB,MYH10,EMD,DYNC1H1,SUN1,ADAM10,HSPG2,RHOA,COL1A1,KRT18,ZYX,MYH9,DSG2,TLN2,TLN1,VCL"
"GOTERM_CC_DIRECT","collagen type I trimer","2","53","2","20808","4.99e-3","3.15e-2","392.60","6.79e-1","2.61e-2","6.37e-6","COL1A1,COL1A2"
"GOTERM_CC_DIRECT","laminin-11 complex","2","53","3","20808","7.48e-3","4.35e-2","261.74","8.18e-1","3.61e-2","1.91e-5","LAMA5,LAMC1"
"GOTERM_CC_DIRECT","myosin II filament","2","53","3","20808","7.48e-3","4.35e-2","261.74","8.18e-1","3.61e-2","1.91e-5","MYH9,MYH10"
"GOTERM_CC_DIRECT","laminin-10 complex","2","53","3","20808","7.48e-3","4.35e-2","261.74","8.18e-1","3.61e-2","1.91e-5","LAMA5,LAMC1"
"GOTERM_CC_DIRECT","cleavage furrow","3","53","56","20808","8.65e-3","4.91e-2","21.03","8.61e-1","4.07e-2","3.93e-4","MYH9,MYH10,RHOA"
"GOTERM_CC_DIRECT","terminal web","2","53","4","20808","9.96e-3","5.51e-2","196.30","8.97e-1","4.57e-2","3.81e-5","KRT19,VCL"
"GOTERM_CC_DIRECT","collagen type VI trimer","2","53","5","20808","1.24e-2","6.72e-2","157.04","9.42e-1","5.57e-2","6.33e-5","COL6A2,COL6A1"
"GOTERM_CC_DIRECT","protein-containing complex","7","53","797","20808","1.41e-2","7.45e-2","3.45","9.60e-1","6.17e-2","3.92e-3","DCTN1,COL6A2,COL6A1,MYH9,VCL,ACTB,CRKL"
"GOTERM_CC_DIRECT","nuclear envelope","4","53","230","20808","1.98e-2","1.02e-1","6.83","9.89e-1","8.46e-2","2.79e-3","SUN1,DCTN1,EMD,LMNB2"
"GOTERM_CC_DIRECT","fibrillar collagen trimer","2","53","9","20808","2.23e-2","1.12e-1","87.25","9.94e-1","9.30e-2","2.27e-4","COL1A1,COL1A2"
"GOTERM_CC_DIRECT","supramolecular fiber","2","53","10","20808","2.47e-2","1.19e-1","78.52","9.97e-1","9.89e-2","2.83e-4","MYH9,MYH10"
"GOTERM_CC_DIRECT","postsynaptic actin cytoskeleton","2","53","10","20808","2.47e-2","1.19e-1","78.52","9.97e-1","9.89e-2","2.83e-4","MYH10,ACTB"
"GOTERM_CC_DIRECT","postsynapse","4","53","254","20808","2.56e-2","1.21e-1","6.18","9.97e-1","1.00e-1","3.97e-3","CDH1,DAG1,FLNA,RHOA"
