"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","skeletal muscle cell differentiation","2","31","49","19512","7.27e-2","6.11e-1","25.69","1.00e+0","5.93e-1","2.74e-3","NOTCH1,EMD"
"GOTERM_BP_DIRECT","hair follicle development","2","31","50","19512","7.41e-2","6.14e-1","25.18","1.00e+0","5.96e-1","2.85e-3","LAMA5,SAV1"
"GOTERM_BP_DIRECT","morphogenesis of an epithelium","2","31","52","19512","7.70e-2","6.20e-1","24.21","1.00e+0","6.02e-1","3.08e-3","KRT19,KRT10"
"GOTERM_BP_DIRECT","ephrin receptor signaling pathway","2","31","52","19512","7.70e-2","6.20e-1","24.21","1.00e+0","6.02e-1","3.08e-3","CRK,PTK2"
"GOTERM_BP_DIRECT","response to cytokine","2","31","56","19512","8.27e-2","6.57e-1","22.48","1.00e+0","6.38e-1","3.57e-3","TIMP3,TIMP1"
"GOTERM_BP_DIRECT","response to hormone","2","31","58","19512","8.55e-2","6.70e-1","21.70","1.00e+0","6.50e-1","3.82e-3","TIMP3,TIMP1"
"GOTERM_BP_DIRECT","tumor necrosis factor-mediated signaling pathway","2","31","61","19512","8.97e-2","6.94e-1","20.64","1.00e+0","6.74e-1","4.22e-3","KRT18,ILK"
"GOTERM_BP_DIRECT","negative regulation of epithelial cell proliferation","2","31","62","19512","9.11e-2","6.95e-1","20.30","1.00e+0","6.75e-1","4.35e-3","NOTCH1,SAV1"
"GOTERM_BP_DIRECT","regulation of cell adhesion","2","31","64","19512","9.39e-2","7.08e-1","19.67","1.00e+0","6.87e-1","4.63e-3","LAMA5,PTK2"
"GOTERM_BP_DIRECT","heart morphogenesis","2","31","66","19512","9.67e-2","7.19e-1","19.07","1.00e+0","6.98e-1","4.92e-3","NOTCH1,PTK2"

