"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","phagocytosis, engulfment","2","53","27","19512","6.96e-2","4.89e-1","27.27","1.00e+0","4.69e-1","2.43e-3","MYH9,RAC1"
"GOTERM_BP_DIRECT","positive regulation of neutrophil chemotaxis","2","53","27","19512","6.96e-2","4.89e-1","27.27","1.00e+0","4.69e-1","2.43e-3","C1QBP,RAC1"
"GOTERM_BP_DIRECT","cardiac muscle cell proliferation","2","53","28","19512","7.20e-2","4.93e-1","26.30","1.00e+0","4.73e-1","2.62e-3","MYH10,SAV1"
"GOTERM_BP_DIRECT","positive regulation of microtubule polymerization","2","53","28","19512","7.20e-2","4.93e-1","26.30","1.00e+0","4.73e-1","2.62e-3","DCTN1,RAC1"
"GOTERM_BP_DIRECT","myoblast fusion","2","53","28","19512","7.20e-2","4.93e-1","26.30","1.00e+0","4.73e-1","2.62e-3","ITGB1,MYH9"
"GOTERM_BP_DIRECT","basement membrane organization","2","53","29","19512","7.45e-2","5.05e-1","25.39","1.00e+0","4.84e-1","2.80e-3","ITGB1,FERMT1"
"GOTERM_BP_DIRECT","anatomical structure morphogenesis","3","53","170","19512","7.54e-2","5.05e-1","6.50","1.00e+0","4.84e-1","1.11e-2","COL18A1,KRT18,RAC1"
"GOTERM_BP_DIRECT","positive regulation of Rho protein signal transduction","2","53","30","19512","7.70e-2","5.05e-1","24.54","1.00e+0","4.84e-1","3.00e-3","RAC1,FERMT2"
"GOTERM_BP_DIRECT","actomyosin structure organization","2","53","30","19512","7.70e-2","5.05e-1","24.54","1.00e+0","4.84e-1","3.00e-3","MYH9,MYH10"
"GOTERM_BP_DIRECT","cell-cell junction organization","2","53","30","19512","7.70e-2","5.05e-1","24.54","1.00e+0","4.84e-1","3.00e-3","NF2,RAC1"
"GOTERM_BP_DIRECT","response to progesterone","2","53","31","19512","7.95e-2","5.08e-1","23.75","1.00e+0","4.87e-1","3.20e-3","YAP1,DSG2"
"GOTERM_BP_DIRECT","regulation of transport","2","53","31","19512","7.95e-2","5.08e-1","23.75","1.00e+0","4.87e-1","3.20e-3","CDH3,CDH1"
"GOTERM_BP_DIRECT","regulation of cell morphogenesis","2","53","31","19512","7.95e-2","5.08e-1","23.75","1.00e+0","4.87e-1","3.20e-3","RAC1,FERMT2"
"GOTERM_BP_DIRECT","protein localization to cell surface","2","53","33","19512","8.44e-2","5.33e-1","22.31","1.00e+0","5.10e-1","3.62e-3","FLNA,VCL"
