,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,EC,Glioblast,MC,Microglia,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,PSC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
COL1A1,1.2929977939374262,3.8155597232103364,0.44709388971684016,0.6295987256315025,0.641790295744653,0.734394124847001,1.220033708147792,33.614758589891764,9.375,38.890594616724314,7.855904197886739,5.146122309930336,1.8241925090261721,1.0930930930930927,27.114769090077633,0.9354838709677379,0.3928360980661778
COL1A2,7.1022959392103555,12.641790079545054,0.7581157260415985,1.2788305794895765,0.3926019433217238,0.0,3.9217166000050705,44.58019605056619,16.666666666666664,63.60659093235634,17.394671116492578,11.188838260854018,2.9880917701687104,2.4144144144144133,49.61133973479754,4.27096774193546,1.9615020623894575
COL2A1,0.24103276411471453,9.56735432969048,1.7624570725069715,8.400747843704085,0.16001327975108362,0.2039983680130559,0.5383241516363572,4.854585675725006,0.0,12.680380718452849,58.039677605779836,11.629392476508379,1.4031231517527623,1.8618618618618612,81.61865569273236,19.552688172047446,0.49283074121029125
COL3A1,2.4041996895170765,2.8700769578995686,0.29158297155446106,0.23202787904208166,0.4559123845260002,0.0,1.7382335924332242,32.72583362084209,7.291666666666666,16.856002456247936,0.7819912966658982,3.952986903384492,1.614099202881368,1.1411411411411407,2.057613168724278,0.45806451612903104,0.2848061710979787
COL4A1,26.42781272980401,1.8120675160059871,8.799326119354808,7.482452891648846,1.5650032234280937,8.48633210934309,12.590244761403573,21.76851419641469,1.0416666666666665,44.171527990996005,26.5135403374427,10.95539872479112,1.9318873970499792,9.489489489489667,69.59304983996542,10.116129032258007,2.012392193275301
COL4A2,27.53084402320951,5.227963525835998,30.719885958662218,23.70834095601474,6.458051042115301,5.997552019583825,16.788670037484277,27.656119984572474,0.0,55.05066011667586,40.23601522534497,21.660711313095167,7.987517985929625,15.927927927927893,65.70644718793048,23.737634408609264,7.368355266682657
COL4A3,0.1327722853174277,0.6479984479079146,0.03887772954059484,0.0383738415338827,0.0911052690500726,0.0,0.10439463688275102,1.0127250218172161,0.0,0.29679664312762255,0.42426027113394454,0.5191416548269208,0.3914974003160168,0.36036036036036023,0.8687700045724736,0.12258064516129036,0.24016570540864013
COL4A4,0.23286216194133438,0.6363577572269339,0.09071470226138797,0.1146753171419525,0.12411162711694324,0.0,0.13458103790908843,0.8970430052970133,0.0,0.2456248081056187,0.5115117407758845,0.7262563344185672,0.5261160103457757,0.2762762762762762,3.0635573845450335,0.2774193548387095,0.4428334196382345
COL4A5,26.63003513359502,21.408523572399204,12.46031231776116,20.751770328075434,1.7061005786729266,5.059159526723775,18.982215178731956,22.221094717186553,0.0,4.216559205813153,42.29187797877811,24.182090580719812,2.128739528437758,7.351351351351469,61.636945587564476,23.07096774194217,1.6043783368747666
COL4A6,10.909796552005256,19.671473840781747,11.825309401931385,27.46763880396077,1.7807991785084263,1.631986944104448,10.971499006365868,7.365088385119965,0.0,0.6754682222904509,31.131324368230985,15.033041566168423,1.4366674611372268,1.645645645645645,62.780064014633574,16.63655913978752,1.0320875667374745
COL5A1,2.573739684614704,5.080514777210242,2.034601179291131,3.0542900616215363,0.6647596326449849,0.12239902080783352,2.973360501094133,25.68140766748267,0.0,15.95537815986076,7.359661464298166,5.738044450296525,1.129913579266137,0.6486486486486484,32.464563328761024,2.399999999999987,0.4758673642483434
COL5A2,12.564343492114672,3.326650714609146,0.9136266442039794,1.6264261905929802,0.614188487536691,8.03753569971437,7.07996880738633,24.883810606212066,2.083333333333333,45.256370893462666,8.665161578815797,8.209096786432573,1.795061924560716,4.756756756756801,16.00365797896652,7.50322580645157,1.3195721657768005
COL5A3,7.659939537543514,1.3063441764211579,0.012959243180198277,0.04551316088902366,0.1596272404754477,0.6119951040391676,1.9419917993609912,5.635946664501815,0.0,23.77443455122215,1.7755674072135679,0.772324833243625,0.21450703106379373,0.5165165165165163,2.3319615912208476,0.1118279569892473,0.19106119315036776
COL6A1,40.07884631096873,24.924012158055383,13.289703881293924,19.59252334778773,14.163974042702634,15.055079559363529,29.4191633335807,65.30757209833486,4.166666666666666,33.404973902364574,34.45124278809861,28.4118756073168,20.84558141995891,19.423423423423085,68.03840877915144,25.133333333341334,8.529007374604952
COL6A2,12.805376256229534,15.439436073207421,6.0778850515129355,5.993012391182184,7.000243204744608,2.69277845777234,14.299549719520313,65.28118848053195,2.083333333333333,26.138573329238795,13.879527533292643,13.934753068970341,6.5623262095817845,3.591591591591603,66.9410150891651,5.240860215053734,2.347195685945324
COL6A3,0.40035950649562735,0.6234236564702886,0.16199053975247843,0.12404567379557513,0.2223586227662844,0.12239902080783352,0.33079264458028396,22.663527692649634,0.0,1.7398423907481304,0.4133538374287021,1.0456387842561528,0.49654405338841884,0.40840840840840825,2.3776863283036094,0.2924731182795696,0.21963109119154442
COL6A5,0.008170602173380177,0.002586820151328979,0.0064796215900991385,0.0022310372984815563,0.009457962253079617,0.0,0.0050310668377229395,0.13191808901426744,0.0,0.010234367004400778,0.027266084263106814,0.02787337744037227,0.05605430647140355,0.0,0.4115226337448559,0.010752688172043012,0.0044640465689338065
COL6A6,0.3431652912819662,0.06208368363189549,0.019438864770297416,0.05131385786507572,0.08145428715917519,0.0,0.1081679370110432,2.3136403304040587,0.0,0.3377341111452256,0.5704064827841939,1.082803287509981,0.4475517067874246,0.20420420420420418,0.9144947416552354,0.15698924731182815,0.14999196471617632
COL7A1,4.436636980145256,2.304856754834171,1.1922503725782458,1.25339675428689,2.285545531402049,0.6527947776417787,3.072724071139155,5.221926815903194,1.0416666666666665,2.292498208985772,3.520596800052505,2.37852820824501,2.8777486471934983,3.8798798798798995,2.286236854138086,3.978494623655892,3.53463207328183
COL8A1,1.2194623743770032,0.9713509668240459,0.05831659431089226,0.08701045464078096,0.041885261406495615,0.0,0.6993182904434928,6.403101089846371,0.0,2.456248081056184,1.333856842151212,1.0135069741512805,0.12270155274842619,0.8408408408408405,0.18289894833104708,0.29032258064516103,0.09195935932003631
COL8A2,0.2778004738949251,3.3331177649874686,0.05183697272079312,0.0339117669369196,0.06832895178755471,0.0,0.16099413880713367,3.381162096888738,2.083333333333333,1.934295363831745,0.20285966691751456,0.5477892927517466,0.15359762718148257,0.09609609609609611,0.4115226337448559,0.04516129032258063,0.07410317304430111
COL9A1,2.3919437862570074,16.51684666623597,9.408410548824182,9.538130658470271,0.5599499693098567,0.12239902080783352,4.439916484290646,2.528768290950401,0.0,5.454917613345687,17.784030799769766,6.461203742777534,0.8995171384938938,10.090090090090285,16.369455875628606,11.610752688171976,0.5830044819027507
COL9A2,4.056703979083104,16.32542197503762,2.429858096287173,2.81556907068395,2.006439135117468,1.5503875968992256,2.9783915679318556,3.4400178596797186,6.249999999999999,3.9811687647119274,7.329123449923484,4.269272311284542,3.42990563456146,4.300300300300332,67.85550983082038,4.397849462365567,1.9195400246414813
COL9A3,5.474303456164467,10.977171312164812,11.669798483768991,10.681314170212508,11.744858921936133,0.1631986944104447,8.694941262295744,13.502323787877405,3.125,13.468426977791628,4.756295738856577,2.784627832341528,1.5147903922036772,10.966966966967187,20.759030635573687,5.834408602150504,5.547024266557895
COL10A1,0.20222240379115888,0.09700575567483678,0.0323981079504957,0.03703521915479377,0.03667373118541087,0.08159934720522236,0.038990767992352786,0.9051610415440451,0.0,0.11257803704840857,1.073193076595896,0.8602033982292395,0.16507331197090352,0.10810810810810811,0.09144947416552354,0.036559139784946224,0.032141135296323405
COL11A1,36.3081134079566,16.232296449589775,21.03285168146311,23.322371503378537,3.1085812670572714,2.284781721746228,34.04522929085773,9.828912386094952,0.0,8.371712209600005,18.823413931879458,13.843777462046988,2.5206783012457117,22.642642642642024,5.486968449931416,25.73118279570731,3.73908540613907
COL11A2,1.3767464662145743,1.1330272262821115,0.5572474567485254,0.41854259719513515,1.417343200497324,0.12239902080783352,1.2514778758835585,1.5546039413065875,0.0,3.039607000307028,1.021932838181252,0.7878100429327202,0.8213942074274436,2.318318318318317,1.5546410608139003,0.9956989247311784,1.597235862364473
COL12A1,0.3778903505188318,1.5792537023863726,0.17494978293267668,0.42523570909058017,0.687535949907499,2.2439820481436166,0.3735567127009294,10.01156820165323,0.0,23.242247466993366,0.8223451013752986,2.390142115511831,0.8946620410829844,0.4324324324324323,0.5029721079103795,0.2924731182795696,0.2714140313911771
COL13A1,0.08374867227714683,0.226346763241285,0.03887772954059484,0.12806154093284197,0.25131156843897823,0.12239902080783352,0.10942570372047393,4.6516347695492115,0.0,1.279295875550096,4.7704741026733934,0.5005594032000067,0.7379748064581831,0.04804804804804805,25.422953818015365,0.32258064516128987,0.25802189168437556
COL14A1,1.4666230901217576,0.226346763241285,0.06479621590099141,0.044174538509934726,0.09457962253079567,0.0,0.8653434960883457,14.362835630062479,0.0,12.485927745369253,3.0418043603923217,2.3522033517735483,0.4374001394737051,0.32432432432432423,2.6977594878829407,0.13333333333333341,0.1410638715783086
COL15A1,0.07149276901707656,0.36991528164004245,0.05183697272079312,0.03168072963843805,0.3316077377712492,0.0,0.07923930269413634,7.860288596189073,3.125,8.453587145635213,0.3708187459782556,0.261312913503488,0.28689211973552586,0.45645645645645627,0.5029721079103795,0.09892473118279564,0.37587272110422926
COL16A1,5.921643925157001,1.8767380197892134,1.2505669668891388,0.6733270566817436,3.4689489308637764,0.3263973888208895,3.3645259477271345,14.817445659896103,1.0416666666666665,6.457885579776996,0.862698906084699,1.3154685630886342,0.758719313577523,1.9579579579579571,3.795153177869224,0.5677419354838691,1.1258325446850808
COL17A1,0.6250510662635859,0.3039513677811539,0.12959243180198277,0.21864165525119286,0.06408251975555986,0.1631986944104447,0.2465222750484239,0.7428003166034095,0.0,0.28656227612322177,1.0917340138948095,0.6283123831350409,0.19376252394445587,0.19219219219219214,1.7832647462277085,0.20860215053763467,0.053568558827205646
COL18A1,4.8492523899009266,27.967406066094007,7.918097583101242,10.839717818404738,1.1179697422416024,19.01264789881692,5.342992981662109,37.73466198525898,2.083333333333333,60.35206222495635,34.69990947657753,15.217315561468489,3.926891060441816,2.5105105105105094,84.63648834019479,10.52043010752682,1.0436940878167018
COL19A1,0.12460168314404757,0.15779602923106745,0.019438864770297416,0.050867650405379404,0.4885327033172279,0.0,0.12200337081478119,1.276561199845749,0.0,7.849759492375548,0.6227573645693578,0.41151944748771013,0.7913808779781859,0.5405405405405403,4.343850022862368,0.1118279569892473,0.8472760387836219
COL20A1,0.21039300596453903,0.12158054711246195,0.05831659431089226,0.08433320988260307,0.24725815604480111,0.04079967360261118,0.25909994214273135,0.9396626955939301,0.0,6.816088424931036,0.24975733185005913,0.4239076152389862,0.31734682167668143,9.069069069069236,0.09144947416552354,0.2043010752688175,0.28837740835312575
COL21A1,1.0090693684124603,5.028778374183661,0.019438864770297416,0.1204760141180046,0.07354048200863932,1.3055895552835581,0.618821221039925,12.990887504314577,0.0,1.5044519496469129,1.69813172790634,3.1733065955378574,0.5918805116390022,2.6426426426426413,2.4234110653863707,0.07741935483870963,0.11785082941985257
COL22A1,4.422338426341842,0.6311841169242758,0.4082161601762454,0.4868123385286747,0.06968008925228035,0.08159934720522236,3.1582522073804493,1.2075578917459788,0.0,2.814450926210211,1.2793246736249952,1.0905458923545286,0.2100933061447857,1.4534534534534527,0.0,3.167741935483854,0.08838812206488927
