,0-7d,7-14d,14-30d,30-60d,60-90d,90-120d,120-180d,180-270d,270-365d,365-450d
COL27A1,0.7933332,0.6670624,0.3577226,0.12572187,0.23956637,0.16920665,0.27820328,0.21050934,0.031830575,0.4824519
COL28A1,0.081770696,0.014241338,0.059234727,0.018406909,0.047856808,0.023753718,0.054299857,0.0113317855,0.0038942487,0.1063478
LAMA1,2.368409,1.7795303,0.737261,0.17347294,0.1748449,0.12284662,0.21806209,0.09983868,0.042213544,0.89282453
LAMA2,0.09623415,0.057633873,0.06476803,0.049983073,0.13226509,0.07485579,0.13040191,0.007309563,0.0018399175,0.31660593
LAMA3,0.018199828,0.007192169,0.033727802,0.038096953,0.047619894,0.03519413,0.05120983,0.009018892,0.0,0.17247763
LAMA4,0.046166185,0.07416503,0.1268798,0.1161565,0.20336142,0.16137148,0.36324057,0.5032619,0.013488676,1.8209083
LAMA5,0.47933924,0.6636625,0.36012128,0.22241083,0.27079555,0.24197906,0.39826074,0.49638218,0.11065416,0.44080058
LAMB1,1.2021775,1.774087,0.47045657,0.3065211,0.3221991,0.30981347,0.33170763,0.11311632,0.13587803,0.6225602
LAMB2,0.57842594,0.45862383,0.49096933,0.23272012,0.36504048,0.25972554,0.518426,0.74736345,0.118227944,3.6775167
LAMB3,0.0013239204,0.0023358064,0.008972684,0.03331839,0.029921422,0.015057687,0.017087698,0.02813954,0.0,0.0
LAMB4,0.038668472,0.0020173746,0.09665017,0.026329732,0.054149102,0.03437368,0.064187884,0.016986923,0.0036376186,0.81042165
LAMC1,1.1311873,1.9003743,0.5969759,0.2736258,0.41342527,0.37593937,0.5873832,0.47461665,0.20441042,2.1535285
LAMC2,0.0076429383,0.046723474,0.033191264,0.027400348,0.025741467,0.038922444,0.05660135,0.023852501,0.0020781318,0.3627983
LAMC3,0.008846879,0.021368396,0.018761052,0.009849612,0.02199804,0.009290978,0.009935712,0.0013007143,0.008557206,0.04059273
ACAN,0.019603299,0.014026857,0.014378974,0.005476334,0.0064027547,0.013146233,0.012705309,0.007464654,0.0,0.046912406
VCAN,4.8192167,3.9139924,2.7012258,2.4498808,2.3435814,2.223006,2.2939658,1.2173493,1.185586,3.2749193
NCAN,0.24326344,0.5618539,0.59002644,0.8938447,1.3060538,1.6227525,2.1667733,1.905923,1.0634601,2.98533
BCAN,0.026959516,0.08694643,0.07088304,0.2596219,0.74717516,0.8000254,2.1008954,2.7980478,0.93124837,4.1367526
DCN,0.0065860944,0.0057676523,0.06530068,0.14868723,0.49715778,0.51912546,0.21964523,0.0050476287,0.0,0.10146704
BGN,0.06548574,0.041411392,0.07810358,0.05812585,0.07340811,0.061692767,0.05973641,0.098797925,0.0060764533,0.1928075
LUM,0.0075622527,0.025183186,0.17594114,0.15439312,0.3355072,0.3190657,0.16251424,0.008811143,0.0,0.09301673
FMOD,0.00984931,0.003986893,0.00808565,0.009874885,0.014996071,0.006863163,0.0030292391,0.0032784175,0.0,0.0
PRELP,0.082981005,0.12926798,0.071713954,0.024655582,0.045117524,0.038456347,0.046388127,0.014630559,0.003852381,0.16740777
OMD,0.15881611,0.0017013333,0.018302517,0.0067180935,0.014565102,0.011419463,0.014294302,0.00063020654,0.0,0.0
OGN,0.18259624,0.0019805585,0.026038282,0.0264201,0.061426,0.037934307,0.054475833,0.0024163937,0.0021049085,0.0
ASPN,0.2358143,0.008481221,0.029655306,0.025888938,0.04056895,0.024159582,0.03080916,0.0035999508,0.0,0.0
CHAD,0.004138856,0.0,0.0012856197,0.00031604242,0.0013601278,0.0009767988,0.0033285643,0.0,0.0,0.0
KERA,0.0,0.0,0.00057454355,0.00085129787,0.0017191285,0.0020420959,0.0018203654,0.0,0.0,0.0
OPTC,0.0044459105,0.09119237,0.016719934,0.003430234,0.0025312859,0.0016143824,0.0020559577,0.0009412662,0.0,0.0
EPYC,0.00055318244,0.0,0.00085559435,0.00093713065,0.0021703555,0.0018887214,0.000575898,0.0,0.0,0.0
HSPG2,1.0568895,0.77935755,0.38291538,0.13440771,0.13999374,0.09358006,0.10522842,0.07969628,0.024747306,0.0
AGRN,0.9467324,1.1233269,0.79562634,0.5864663,0.75270224,0.5383922,0.5209887,0.4607933,0.2823954,0.22389889
SDC1,0.8373235,0.92046845,0.46324587,0.2193959,0.19132327,0.13904753,0.1157867,0.04191569,0.08023032,0.12711103
SDC2,2.4424398,2.705737,1.4390527,0.7363852,0.9958742,0.64962965,0.94364214,0.9259346,0.21844587,4.3460407
SDC3,0.5578299,0.78176063,0.70217204,0.5973696,0.9132554,0.79573494,1.315617,1.3108566,0.6691033,2.3050208
SDC4,0.16459377,0.8750437,0.3397872,0.088378325,0.087169655,0.08091112,0.13779873,0.15863195,0.025921352,1.4741834
GPC1,0.7659641,0.77013665,1.0872458,1.4824964,1.2483466,1.081306,1.2437999,0.8188019,0.46392256,1.8961326
GPC3,1.5149037,6.050425,1.2618374,0.51936454,0.39619613,0.1378834,0.1617594,0.023598516,0.0,0.18243249
GPC4,0.25899023,2.7795262,0.85592884,0.82398325,0.7619564,0.536629,0.5443363,0.39340675,0.19059324,2.3423579
GPC5,0.73511213,0.0043024933,0.16885774,0.047045045,0.08758841,0.058213014,0.10003633,0.011688228,0.0020781318,0.82467884
GPC6,4.8787766,1.0881355,1.2294322,0.63107526,0.729358,0.6103702,0.8290662,0.43140382,0.3168462,0.729057
FN1,1.3206384,1.1300843,0.7627639,0.22597633,0.3263058,0.24295628,0.32641205,0.14436701,0.032966007,0.5385834
VTN,0.042041097,0.0066553904,0.12295135,0.014919932,0.021895127,0.035652064,0.011021645,0.0025253077,0.0,0.0
TNC,0.69986427,1.3867052,0.11147847,0.1623921,0.54798836,0.5998705,1.3817215,1.7714701,0.40518525,4.2382073
TNR,0.0024728412,0.0022032661,0.023023287,0.06453394,0.13592623,0.18006791,0.11468721,0.041837092,0.022014512,0.0
TNXB,0.100041464,0.039664816,0.08194568,0.035945702,0.096651286,0.07096808,0.048697356,0.030482747,0.025262574,0.16525938
THBS1,0.043145545,0.18442062,0.05957893,0.043777708,0.06825534,0.11061202,0.14782766,0.15467381,0.0334473,1.1404651
THBS2,0.044473395,0.10339437,0.046882745,0.07248422,0.1743309,0.17351057,0.2607238,0.2608633,0.082453735,1.9540902
THBS3,0.37165073,0.51282126,0.5084747,0.24735023,0.2169031,0.146223,0.21295664,0.17674986,0.12151786,1.7663492
THBS4,0.71352744,0.6107409,0.21996003,0.08618675,0.14725916,0.10724778,0.1359748,0.063788764,0.05140813,1.3242626
COMP,0.0051990566,0.005715532,0.019346284,0.02152252,0.013109894,0.016145198,0.023117684,0.0056263115,0.0,0.0
SPP1,0.012402298,0.17343807,0.12308339,0.07952103,0.075217165,0.15973349,0.30574447,0.69525826,0.07704539,1.9553866
SPARC,1.8011116,3.0568986,2.7019007,1.4611076,1.5007734,1.2621349,1.9783434,1.7582942,0.83093876,5.088936
POSTN,0.005647217,0.008162754,0.06855013,0.058766056,0.12504958,0.08365026,0.0890886,0.004317252,0.0,0.0
FBLN1,4.683745,4.232606,1.6416231,1.5580289,1.2164354,1.0501465,0.8413491,0.5889431,1.2638818,0.09513839
FBLN2,0.2222767,0.27502394,0.2076808,0.07708422,0.14856407,0.13620187,0.15368108,0.14861503,0.060086433,0.0
FBLN5,0.005681538,0.0022715703,0.057368476,0.08714222,0.24017222,0.179881,0.23646513,0.061247967,0.011341126,2.3897138
EFEMP1,0.74462503,0.5638669,0.5602723,0.106823176,0.19146344,0.15501519,0.1882287,0.18587057,0.005835297,2.1835449
EFEMP2,0.22420354,0.24563299,0.5756444,0.21731518,0.41218913,0.463205,0.6469615,0.964135,0.058853116,2.820824
NID1,0.98068494,1.031898,0.2581289,0.060801134,0.09403985,0.09576995,0.17899606,0.13668552,0.054711267,0.43061465
