,0-7d,7-14d,14-30d,30-60d,60-90d,90-120d,120-180d,180-270d,270-365d,365-450d
ADAM17,1.5180353,2.2794864,1.4158969,0.95442516,0.9410228,0.9232848,1.312128,0.85003453,0.76396984,2.5927243
ADAM12,0.16062526,0.21957125,0.4123746,0.12845701,0.18471375,0.10761801,0.1456484,0.04491779,0.0018588374,0.5235543
ADAMTS1,0.58425283,0.23615623,0.2992456,0.21903393,0.18803899,0.19855465,0.2942108,0.1568261,0.003991696,2.2552102
ADAMTS2,0.14171043,0.21303317,0.19023943,0.0834011,0.11934576,0.083498456,0.062257674,0.015607308,0.015492208,0.0
ADAMTS4,0.04130733,0.12237227,0.043636534,0.058450084,0.10813347,0.103446655,0.095963724,0.08170812,0.023999043,0.03270641
ADAMTS5,0.027483478,0.006810838,0.0668993,0.12430491,0.099503316,0.066867016,0.05394613,0.0016178042,0.0032651448,0.0
ADAMTS13,0.16254443,0.11781443,0.09146361,0.05781775,0.09410766,0.08506677,0.10982842,0.08235217,0.01368707,0.0
LOX,0.03017189,0.013207292,0.08252221,0.14021495,0.30610487,0.23703821,0.2927883,0.3618308,0.15048845,1.958324
LOXL1,0.4581049,0.7782399,0.8731525,0.3402853,0.30635482,0.26457593,0.33119717,0.39844102,0.5656885,0.4556862
LOXL2,0.2857799,1.0109816,0.2395711,0.07923358,0.11001311,0.09127135,0.102587886,0.07229893,0.019525107,0.31115144
LOXL3,0.38616103,0.47624668,0.40905678,0.17359447,0.20419776,0.15336327,0.19603176,0.120717525,0.085136995,2.2970462
LOXL4,0.022130005,0.0066949152,0.030703956,0.009355819,0.010326492,0.0052960096,0.011035246,0.009497082,0.117611274,0.0
TGM2,0.005845282,0.022363098,0.019614229,0.014292112,0.016181327,0.009194308,0.0057085603,0.005888339,0.0,0.0
CCN1,0.61292195,0.4872963,0.22027881,0.15550281,0.15811047,0.040703375,0.035718143,0.0,0.15255977,0.0
CCN2,0.73410594,0.3730399,0.23263088,0.115090385,0.103517525,0.013458777,0.013934563,0.0,0.0061255833,0.0
CCN3,0.025595875,0.009437165,0.010790228,0.061608,0.13422358,0.022578923,0.010519377,0.0,0.012071212,0.0
CCN4,0.0013971893,0.0,0.0015522931,0.0013641084,0.008354846,0.002948719,0.0042422353,0.0,0.0,0.0
CCN5,0.003844114,0.0007387849,0.0029843186,0.005701607,0.015587937,0.0036160643,0.0035355417,0.0,0.0,0.0
CCN6,0.0073849857,0.0,0.0016859645,0.00072722253,0.0016014538,0.0008923941,0.0010424546,0.0,0.0,0.0
TGFB1,0.19327207,0.20735812,0.2864668,0.093495674,0.214341,0.23042242,0.30105218,0.4905346,0.30231905,0.05528515
TGFB2,0.30428103,0.27152744,0.22146834,0.14523429,0.35693023,0.343688,0.5656087,0.3929311,0.1431482,2.3150868
TGFB3,0.017351825,0.016063822,0.042632148,0.06200119,0.07400888,0.07074111,0.11356054,0.07732638,0.08611213,0.74551874
BMP1,0.2865812,0.13200916,0.2946654,0.16891685,0.25322416,0.17555036,0.23599045,0.24683936,0.10527088,0.38453203
BMP2,0.45532864,0.31520823,0.16843876,0.0813229,0.08155984,0.050522737,0.074433126,0.025024261,0.0041455207,0.0953857
BMP4,0.10286473,0.5829791,0.13289054,0.07435758,0.053097125,0.024621364,0.050299175,0.023350796,0.0,0.23331013
BMP7,1.4160813,1.2139969,0.92732877,0.5440792,0.75618416,0.6059641,1.0225984,1.227737,0.476295,3.6567993
LMNA,1.1594453,1.1235983,1.412201,1.0138156,1.2147316,1.1563188,1.7094009,1.4697478,0.4477836,2.8173516
LMNB1,3.1008236,3.3244221,1.863068,1.6273271,1.1617154,1.0168513,1.0599971,0.9012342,0.89022017,0.22525036
LMNB2,1.3820887,1.8897322,0.9370944,0.6290963,0.5667476,0.48413143,0.571603,0.41818607,0.23475936,0.56607944
EMD,1.3478726,2.6489856,1.5877924,1.4506849,1.4437842,1.5629079,1.5066744,1.253459,0.57076967,2.2957683
SYNE1,0.41701016,0.10227888,0.5805016,0.6397085,0.9548823,0.9117141,1.2422334,0.85238034,0.16254322,2.2372892
SYNE2,4.226305,4.5245223,3.0967295,3.0893133,2.4498196,2.4084213,2.599353,2.563341,1.4593122,2.1872146
SUN1,1.2412503,1.6476992,1.1792136,1.0700431,1.3382195,1.2529786,1.3475951,1.0280368,0.57864577,2.8539715
SUN2,0.33349928,0.13680632,0.37718362,0.510951,0.69632393,0.8179221,0.82329977,0.5125649,0.45569623,0.7587579
ACTA2,0.21184398,0.26255992,0.2610152,0.13912128,0.23097903,0.17154695,0.4769397,0.12503195,0.10421574,1.6211535
ACTB,6.8193917,7.9151692,7.3575287,7.730231,7.8745933,7.8092017,7.4328938,8.156469,8.399387,8.968677
MYH9,1.4914724,2.7058022,0.74370617,0.31217864,0.38529512,0.38469315,0.50209343,0.4355738,0.13802086,0.47109875
MYH10,4.304298,5.0114155,2.752054,2.0998852,1.9188977,1.7910461,1.9035782,1.3848162,1.0141908,2.5118964
FLNA,3.3062046,2.5082881,1.5966284,1.0085101,1.1669961,0.8936867,1.3990417,1.5210875,0.52397937,2.4557984
FLNB,0.98903036,1.3476812,0.6542565,0.36563593,0.4518881,0.419797,0.38852197,0.069059476,0.11581421,0.5113353
SRF,0.32853627,0.8056299,0.36353382,0.30446643,0.29262924,0.33773914,0.46065685,0.37700722,0.12056724,0.6227016
RHOA,3.673745,5.232637,3.8710775,3.1709397,3.103268,3.1532826,3.3508368,4.091112,2.5847213,6.208578
ROCK1,2.440136,3.8097568,1.9786528,1.6468889,1.5733956,1.5233545,1.703069,1.425243,0.71530694,1.1263528
ROCK2,2.182995,1.9942956,1.668487,1.5068738,1.4564472,1.4992765,1.7044936,1.217781,0.5746184,1.4089264
RAC1,4.0664682,5.345075,5.0139704,4.9091687,5.2329583,5.454443,5.35034,5.952594,5.137079,4.911521
CDC42,3.1646733,5.818005,3.9643009,4.3546267,4.692008,4.809522,4.480014,3.9728384,4.7784104,2.6179795
