gene_symbol,pct_cells_expressing,mean expression,is_hvg_in_atlas,Category,Subcategory,Matrisome Division,passes_global_filter,max_pct_any_celltype,passes_celltype_filter,top_celltype,top_region,temporal_cv,passes_combined,hvg_passes_combined
COL17A1,0.29662629943441726,0.013822188,False,Collagens,Transmembrane,Core Matrisome,False,1.7832647462277085,False,PSC,Ventral midbrain,1.8653967,False,False
COL4A3,0.26731383762816574,0.013174537,False,Collagens,Basement Membrane / Network,Core Matrisome,False,1.0127250218172161,False,MC,Ventral midbrain,1.3254654,False,False
COL10A1,0.25901146405298464,0.012781447,False,Collagens,Network,Core Matrisome,False,1.073193076595896,False,Neuroepithelium,Dorsal midbrain,2.2656975,False,False
COL6A5,0.02112304569468268,0.0010551398,False,Collagens,Beaded Filament,Core Matrisome,False,0.4115226337448559,False,PSC,Cerebellum,0.7233763,False,False
SPARC,29.346687917883695,1.6656147,True,ECM Glycoproteins,Core Glycoprotein,Core Matrisome,True,91.19844437622548,True,NC Derivatives,Unspecific,0.5710825,True,True
FBLN1,24.91158254562613,1.342697,True,ECM Glycoproteins,Fibulins,Core Matrisome,True,95.01600365798222,True,PSC,Unspecific,0.88383555,True,True
MFAP2,14.011300264675722,0.72919136,False,ECM Glycoproteins,Elastic Fibers / Microfibrils,Core Matrisome,True,84.31641518061544,True,PSC,Thalamus,1.1788561,True,False
TNC,9.19293021825535,0.50875455,True,ECM Glycoproteins,Tenascins,Core Matrisome,True,71.27012010782423,True,Astrocyte,Unspecific,1.0835973,True,True
EFEMP2,8.412224708530507,0.41707537,False,ECM Glycoproteins,Fibulins,Core Matrisome,True,47.839587603748335,True,MC,Unspecific,1.2097511,True,False
FN1,6.664885703982495,0.33937484,True,ECM Glycoproteins,Core Glycoprotein,Core Matrisome,True,82.99039780521528,True,PSC,Unspecific,0.8570904,True,True
FBN2,5.72637861759765,0.29387915,False,ECM Glycoproteins,Elastic Fibers / Microfibrils,Core Matrisome,True,74.34842249657288,True,PSC,Dorsal midbrain,1.4063562,True,False
THBS3,5.174863801532896,0.25104627,False,ECM Glycoproteins,Thrombospondins,Core Matrisome,True,13.16188419548763,True,Neuroepithelium,Ventral midbrain,1.1464511,True,False
FBN1,4.902918707897281,0.2404937,False,ECM Glycoproteins,Elastic Fibers / Microfibrils,Core Matrisome,True,22.610760457043945,True,MC,Unspecific,1.0988511,True,False
EFEMP1,4.3051478104851615,0.20905213,True,ECM Glycoproteins,Fibulins,Core Matrisome,True,23.43677064517915,True,MC,Unspecific,1.3140743,True,True
ELN,4.060256029383598,0.20549458,True,ECM Glycoproteins,Elastic Fibers,Core Matrisome,True,30.436556507547984,True,EC,Medulla,0.85046643,True,True
FBLN5,2.7803350092443813,0.14066292,True,ECM Glycoproteins,Fibulins,Core Matrisome,True,16.30913482028768,True,MC,Medulla,2.232762,True,True
NID1,2.748706919434216,0.13021727,False,ECM Glycoproteins,Nidogens,Core Matrisome,True,47.487462900422415,True,NC Derivatives,Unspecific,1.1218516,True,False
THBS2,2.718038968064717,0.13324542,False,ECM Glycoproteins,Thrombospondins,Core Matrisome,True,17.997793937415807,True,Astrocyte,Unspecific,1.8300321,True,False
THBS4,2.7058395619950817,0.13131568,False,ECM Glycoproteins,Thrombospondins,Core Matrisome,True,9.161404312404368,True,Neuroepithelium,Ventral midbrain,1.2002902,True,False
FBLN2,2.659752916843127,0.13069849,True,ECM Glycoproteins,Fibulins,Core Matrisome,True,57.70461819844677,True,PSC,Unspecific,0.57028997,True,True
SPP1,2.622476953852575,0.14599699,True,ECM Glycoproteins,Core Glycoprotein,Core Matrisome,True,52.08333333333336,True,Microglia,Unspecific,1.6183237,True,True
TNR,1.924286871293181,0.09931891,False,ECM Glycoproteins,Tenascins,Core Matrisome,True,13.741741741741897,True,OPC,Ventral midbrain,1.0862875,True,False
EMILIN1,1.705318828089592,0.08349154,True,ECM Glycoproteins,Elastic Fibers,Core Matrisome,True,23.024780305642427,True,MC,Unspecific,0.941604,True,True
THBS1,1.6074411858734916,0.08066664,True,ECM Glycoproteins,Thrombospondins,Core Matrisome,True,5.956401596561342,True,NC Derivatives,Unspecific,1.6876887,True,True
POSTN,1.3038680024269165,0.07577686,True,ECM Glycoproteins,Core Glycoprotein,Core Matrisome,True,19.730887098410406,True,MC,Unspecific,1.0419602,True,True
TNXB,1.2329307152810427,0.059909664,False,ECM Glycoproteins,Tenascins,Core Matrisome,True,7.945527976782936,True,MC,Ventral midbrain,0.62403405,True,False
NID2,1.2097744352413864,0.057786644,True,ECM Glycoproteins,Nidogens,Core Matrisome,True,15.934909425851963,True,NC Derivatives,Unspecific,1.1873262,True,True
EMILIN2,0.774605806691271,0.036969002,False,ECM Glycoproteins,Elastic Fibers,Core Matrisome,False,19.79166666666666,True,Microglia,Dorsal midbrain,1.1281465,False,False
VTN,0.7115755419980595,0.03410745,False,ECM Glycoproteins,Core Glycoprotein,Core Matrisome,False,5.029721079103797,True,PSC,Ventral midbrain,1.4400487,False,False
COMP,0.37163005527006676,0.01843752,False,ECM Glycoproteins,Thrombospondins,Core Matrisome,False,1.0416666666666665,False,Microglia,Medulla,0.79791653,False,False
MFAP5,0.12560869953202103,0.0064622187,True,ECM Glycoproteins,Elastic Fibers / Microfibrils,Core Matrisome,False,1.5241613053802183,False,MC,Unspecific,0.8143671,False,False
