gene_symbol,Category,Subcategory,pct_cells_expressing,mean expression,is_hvg_in_atlas,max_pct_any_celltype,top_celltype,top_region,temporal_cv
NID2,ECM Glycoproteins,Nidogens,1.2097744352413864,0.057786644,True,15.934909425851963,NC Derivatives,Unspecific,1.1873262
RPSA,ECM Receptors,Laminin Receptors,89.3594634054386,6.5172973,False,99.8628257887552,PSC,Dorsal telencephalon,0.1436413
DDR1,ECM Receptors,Discoidin Domain Receptors,34.8502014596444,1.8593615,False,77.02835198950959,Astrocyte,Unspecific,0.497474
DAG1,ECM Receptors,Dystroglycan Complex,16.879798574332767,0.8374755,False,57.75034293552953,Astrocyte,Unspecific,0.83005935
BCAM,ECM Receptors,Laminin Receptors,6.9046379204899075,0.33373088,False,55.46410608139133,PSC,Unspecific,0.9536857
HMMR,ECM Receptors,Hyaluronan Receptors,6.719387680173226,0.3465074,True,55.144032921811984,PSC,Unspecific,1.3944501
CD44,ECM Receptors,Hyaluronan Receptors,4.686435728893062,0.24258748,True,39.86028270283097,Astrocyte,Unspecific,2.144927
DDR2,ECM Receptors,Discoidin Domain Receptors,2.7629395598487902,0.1385188,False,18.176283157104354,MC,Ventral midbrain,1.0344847
TIMP2,ECM Regulators,TIMPs,27.903317447939557,1.478973,False,75.42078601189824,Astrocyte,Unspecific,0.46756354
TIMP1,ECM Regulators,TIMPs,25.604576584846882,1.4138626,True,95.65614997714091,MC,Unspecific,0.63359785
ADAM17,ECM Regulators,ADAMs (Sheddases),20.90356934306628,1.0605096,False,46.822130772748935,PSC,Ventral midbrain,0.46290043
ADAM10,ECM Regulators,ADAMs (Sheddases),19.741011127586933,0.9993958,False,68.2213077274825,PSC,Ventral midbrain,0.51828617
MMP16,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),12.280622485972716,0.6348195,False,40.45645645645785,OPC,Dorsal midbrain,0.92937803
MMP15,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),8.868233989114923,0.44202548,False,50.525834476452815,PSC,Dorsal midbrain,0.4021021
TIMP3,ECM Regulators,TIMPs,8.69800709145807,0.44711137,True,55.43956606284315,NC Derivatives,Unspecific,1.3415108
LOXL1,ECM Regulators,Crosslinking Enzymes,7.918939464955541,0.39262193,False,30.864197530864285,PSC,Ventral midbrain,0.42876038
MMP17,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),6.142400956064929,0.30740225,False,18.632922695999735,MC,Ventral midbrain,0.60963726
MMP2,ECM Regulators,Matrix Metalloproteinases,5.1894353143382945,0.25628754,True,73.66255144033141,PSC,Unspecific,0.8728823
MMP24,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),4.795947989860759,0.23735966,False,8.330727568220512,Ventral Telencephalic Neuron,Ventral midbrain,0.4715602
ADAMTS1,ECM Regulators,ADAMTS (Aggrecanases / Procollagen),4.70716342346508,0.23214817,False,26.886145404663814,PSC,Unspecific,1.4724945
LOXL3,ECM Regulators,Crosslinking Enzymes,4.3579554247217756,0.20896281,False,14.297410705148007,NC Derivatives,Ventral midbrain,1.4714774
LOX,ECM Regulators,Crosslinking Enzymes,3.9866077631113557,0.19876795,True,18.30414222799506,MC,Unspecific,1.6093584
MMP14,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),3.678346844925854,0.17992413,False,37.500000000000014,Microglia,Unspecific,0.79872084
ADAM12,ECM Regulators,ADAMs (Sheddases),3.404933304263338,0.16879654,False,18.57537611298709,NC Derivatives,Ventral midbrain,0.83105326
MMP11,ECM Regulators,Matrix Metalloproteinases,2.908993560293588,0.14086257,True,11.294010059442106,PSC,Ventral midbrain,0.58753747
LOXL2,ECM Regulators,Crosslinking Enzymes,2.441970927007419,0.11685451,True,23.04526748971175,PSC,Unspecific,1.2524455
ADAMTS2,ECM Regulators,ADAMTS (Aggrecanases / Procollagen),2.074181425500642,0.098956235,False,10.377648142462622,NC Derivatives,Ventral midbrain,0.79561013
ADAMTS4,ECM Regulators,ADAMTS (Aggrecanases / Procollagen),1.5434507827396529,0.0785453,False,8.853529171766587,EC,Dorsal telencephalon,0.4972364
