,Cerebellum,Dorsal midbrain,Dorsal telencephalon,Hypothalamus,Medulla,Pons,Thalamus,Unspecific,Ventral midbrain,Ventral telencephalon
TLN1,0.6616194,0.6925421,0.5159829,0.3982488,0.7568749,0.506974,0.5307149,1.3056438,0.8402724,0.61883664
TLN2,0.7025552,0.6910236,0.5362439,0.3584522,0.48438266,0.52632564,0.39479694,0.66817087,0.62756515,0.42446768
VCL,0.93804675,0.93692774,0.56962585,0.4322548,0.86151624,0.68448293,0.62608415,1.363325,0.9332506,0.61114305
PXN,0.2533538,0.3105605,0.188915,0.16098596,0.29354426,0.33080098,0.22093783,0.42718226,0.3614688,0.16313991
ZYX,0.6030397,0.6980579,0.63610905,0.4384666,0.9009836,0.852442,0.74668294,0.94958943,0.87756306,0.7022022
FERMT1,0.011398956,0.016496485,0.0057249456,0.0066640014,0.029217534,0.016352035,0.0063711046,0.060052216,0.03468472,0.010456564
FERMT2,1.1039814,1.3316082,1.015155,0.5748273,1.1006504,0.8348806,0.70812416,1.9457748,1.1437554,1.0695682
FERMT3,0.04053953,0.03686906,0.026717246,0.02718818,0.026481252,0.025709197,0.017183846,0.031152053,0.04603733,0.04055402
ILK,1.3785089,1.4823767,1.3402674,1.0039959,1.7629853,1.5818545,1.7521394,2.1069963,1.5784701,1.3275819
PARVA,0.30573264,0.50282794,0.17120467,0.21447666,0.33281502,0.31748414,0.30705962,0.67446536,0.57045496,0.23272334
PARVB,0.11483431,0.16647705,0.082772665,0.080931425,0.14047143,0.21980794,0.06853024,0.25188842,0.35111585,0.08183738
PTK2,2.1156466,2.6575115,1.391498,0.9215405,1.643959,1.6762638,1.2899299,1.7889559,2.627753,1.4233193
SRC,0.30864325,0.37284228,0.40948233,0.2507231,0.28604108,0.40049443,0.33572498,0.3190294,0.3720789,0.5047885
BCAR1,0.51163924,0.66485924,0.64402056,0.4420751,0.77870625,0.7794371,0.6690793,0.8704638,0.8470285,0.651878
CRK,1.2822281,1.5110923,1.6986619,1.0500785,1.470801,1.5905005,1.3562665,1.6432647,1.730525,1.7977709
CRKL,0.5575317,0.6773361,0.5919492,0.3970883,0.5828219,0.62634254,0.4881233,0.7898171,0.788968,0.704172
PIEZO1,0.021189494,0.03028114,0.014093551,0.015644828,0.048806418,0.020753851,0.013728414,0.13186257,0.06321899,0.016383318
PIEZO2,0.5366969,0.45280826,0.08230062,0.10089961,0.36600372,0.16095926,0.11113523,0.2635019,0.6948912,0.14244935
TRPV4,0.019169316,0.042950887,0.001764561,0.010814237,0.007348028,0.01481756,0.0059306715,0.06877304,0.06609883,0.0108806705
TRPC1,0.8106884,0.99276495,0.19072826,0.25223488,0.44999915,0.48264548,0.20111871,0.3892197,0.964552,0.29204512
TRPC6,0.011982394,0.011385754,0.07249259,0.0041532754,0.0073269648,0.0066946326,0.0039428812,0.025361964,0.019683616,0.003339727
TRPM7,0.8164413,1.033701,0.4930763,0.43607,0.58100396,0.5470472,0.3746513,0.76177484,0.9660637,0.61300874
KCNK2,0.14679061,0.084319286,0.13293912,0.03279068,0.07665898,0.088083774,0.0443146,0.061426643,0.06582106,0.074614905
KCNK4,0.024932167,0.03221824,0.018685926,0.015621477,0.019090291,0.028587524,0.021337476,0.017185109,0.04703287,0.009006022
TMC1,0.017686408,0.025793793,0.003383564,0.003989555,0.012859201,0.007532066,0.0025103076,0.012622742,0.026221052,0.00850319
TMC2,0.01497015,0.015745481,0.01142368,0.013329841,0.0091434,0.012316124,0.011644379,0.0036978847,0.021726565,0.014493187
DDR1,1.8915801,2.0103855,1.4608579,1.1993138,2.1711872,1.901781,1.9524962,2.512931,2.0869215,1.9907513
DDR2,0.09479984,0.17331813,0.06362458,0.12397738,0.1535968,0.09713505,0.086080976,0.3337104,0.3382358,0.0595255
CD44,0.2259696,0.14331183,0.029073907,0.10877214,0.46511912,0.14447816,0.15102372,0.7235455,0.43406397,0.06393368
DAG1,0.71622235,0.8212769,0.6356812,0.46343005,0.80202484,0.68480974,0.63502586,1.4680159,0.98956245,0.67623645
RPSA,5.6637774,5.9023347,6.9593234,4.6096163,5.253586,6.211064,5.60785,6.715664,6.325978,6.903128
BCAM,0.11063659,0.30039546,0.1903821,0.1889147,0.33440602,0.28610113,0.52640307,0.71462095,0.6729294,0.19991326
HMMR,0.44296646,0.42863786,0.2578184,0.12339557,0.34752795,0.24205215,0.3220781,0.5253654,0.21812749,0.39818192
LYVE1,0.02499815,0.018280068,0.0005615047,0.004267351,0.01110505,0.0056941304,0.0020987527,0.0065222788,0.013646183,0.0015577248
MMP1,0.001223632,0.0033825673,0.0005111481,0.009902429,0.003046427,0.008761744,0.001900539,0.005479844,0.02962692,0.0018875487
MMP2,0.11897448,0.29437685,0.010799259,0.082834415,0.305402,0.2839048,0.23997799,0.8185442,0.5061675,0.1612713
MMP3,0.0016023935,0.003649993,0.0018251889,0.0003039668,0.0041480465,0.002445173,0.0030494253,0.0035791474,0.0021242597,0.0014436514
MMP7,0.00091651344,0.0010637,0.0014073346,0.0021586427,0.0030911453,0.0013553211,0.0034938357,0.017676098,0.004561375,0.0026418911
MMP8,0.0,0.0,5.0002964e-05,0.0,7.697066e-05,0.000106708896,9.3446375e-05,3.6020945e-05,0.00022207253,0.00015498229
MMP9,0.01054008,0.018460378,0.017592927,0.016837683,0.01986435,0.018522074,0.01505455,0.029315611,0.04757968,0.012652164
MMP10,0.013998567,0.0130577665,0.002416633,0.030858126,0.013665736,0.017318223,0.00848785,0.010050723,0.08171454,0.0025808332
MMP11,0.047718856,0.088784866,0.14412199,0.046530474,0.13119979,0.13146831,0.08602064,0.20769526,0.25090194,0.09129235
MMP12,0.0010507611,0.00025061498,0.00011960507,0.0007794997,0.0014343098,0.00094668276,0.00036299147,0.00019998563,0.00073745113,0.00020943028
MMP13,0.00029176945,0.0004615659,0.0002667666,0.0,0.00023230795,0.00036079163,0.00015070188,0.00063636905,0.00060223974,0.00017614572
MMP14,0.0583048,0.10646711,0.042738475,0.05271073,0.16842182,0.08902954,0.09786359,0.5933054,0.24739195,0.07541425
MMP15,0.36971125,0.61670977,0.37117422,0.36387837,0.4230195,0.520239,0.44009393,0.58736384,0.42086107,0.4547601
MMP16,1.0800676,1.3085917,0.56081825,0.46324584,0.51679456,0.722255,0.3605809,0.6523327,1.2727476,0.6412083
MMP17,0.25220218,0.26571387,0.2841587,0.24352513,0.3545678,0.4640439,0.26891103,0.36054388,0.5311584,0.24791728
MMP19,0.021204501,0.017094793,0.0067535494,0.0071211294,0.017846003,0.0142336795,0.007962915,0.024587447,0.015697671,0.009969344
MMP24,0.24401782,0.32948136,0.2877039,0.25610182,0.17595546,0.34908617,0.19353144,0.09075709,0.38836378,0.31938666
MMP25,0.010878023,0.009372998,0.0058296877,0.00606706,0.007828722,0.007311434,0.004909755,0.016562575,0.013073579,0.006871774
MMP28,0.02129403,0.03500359,0.06106052,0.03411757,0.02436562,0.023165917,0.029706031,0.11717658,0.048713557,0.032332677
TIMP1,0.96429163,1.4722323,0.5982996,0.737709,2.0717857,1.4279704,1.4835721,3.2407305,2.481411,0.7209958
TIMP2,0.9665415,1.3856757,1.1930785,1.3753366,1.2744989,1.3270508,1.1567298,2.3638198,2.166687,1.4502567
TIMP3,0.3272037,0.4112298,0.18504119,0.18092114,0.43076843,0.30397165,0.35843924,1.2014321,0.49708378,0.2006848
TIMP4,0.029951232,0.015472749,0.0021826827,0.011382364,0.049569756,0.034474023,0.0046510454,0.08957919,0.08615051,0.006228694
