,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,EC,Glioblast,MC,Microglia,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,PSC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
SDC3,3.003488,0.37915698,0.32651335,0.24264082,0.71468216,0.24785586,1.5777117,1.0987383,0.5147067,1.4189558,0.7687046,0.71200013,0.99943745,2.3693554,1.0471272,0.7253367,0.7812954
SDC4,0.3295237,0.2857825,0.15137942,0.09850123,0.00812694,0.06269208,0.2111864,0.43732432,0.052829113,0.24990423,0.54071957,0.23033035,0.015543215,0.04205746,1.9991795,0.17358455,0.009960806
GPC1,1.766958,0.93585247,1.6515257,2.8258698,1.0014318,0.25121433,1.7836893,1.1480261,0.15857914,0.94981116,0.87233835,0.90859264,0.7209538,1.0511295,1.2197342,1.8193924,0.84332275
GPC3,0.06572714,0.9681247,0.17218976,0.49188834,0.031195482,0.6005633,0.2434315,1.0043272,0.27438954,0.17754266,2.5196142,1.0688999,0.16485228,0.22157764,3.4974663,0.7729624,0.09770662
GPC4,0.8368436,0.71474767,1.0874361,1.6961665,0.32322258,0.35112968,1.1175951,0.74602604,0.098365225,0.21840562,0.9107604,0.9143612,0.1057906,0.3305354,2.8752604,1.6104275,0.4128318
GPC5,0.2475693,0.03226158,0.0066275713,0.015302595,0.021814752,0.0,0.027344236,0.12584558,0.054384016,0.030887939,0.22725804,0.15251091,0.20475362,0.06128038,0.006517375,0.010907924,0.013863076
GPC6,1.2535187,0.74724996,1.2074243,1.1839887,0.38212496,0.020115826,1.235538,0.6546278,0.0,0.19202362,1.8911378,1.0411361,0.47132277,1.0223113,1.1648234,1.1949524,0.3227891
FN1,0.56532687,0.11648715,0.15629625,0.15672731,0.08976518,0.056177817,0.36666873,1.783389,0.060252957,3.234577,1.2534515,0.5558327,0.13315101,0.40964305,4.731682,0.4522538,0.07080014
VTN,0.00923338,0.10435535,0.0012576012,0.0017168131,0.0035575768,0.0,0.026526617,0.18305999,0.0,0.04864704,0.18435186,0.057811473,0.021842346,0.006590617,0.2103836,0.0056693214,0.0040557873
TNC,4.1787453,0.07049834,0.086302646,0.27783746,0.08426515,0.2745017,2.8033655,1.7261082,0.05224111,1.3750848,0.34686917,0.5067801,0.093271725,1.0250769,2.0004604,0.8853843,0.21014494
TNR,0.03653384,0.018572165,0.01041923,0.018003741,0.19918741,0.0,0.0222197,0.01902469,0.0,0.007209023,0.0076241107,0.01871003,0.13852431,0.72243667,0.009379627,0.015806504,0.16762747
TNXB,0.06993423,0.038903102,0.0063988287,0.013857995,0.032620188,0.011844842,0.043592796,0.38158643,0.05254765,0.0344047,0.086396426,0.11028142,0.06719161,0.026007311,0.037358627,0.025835326,0.03365526
THBS1,0.19238289,0.09611622,0.022338295,0.012847639,0.11479839,0.027310323,0.059580166,0.28493932,0.06755544,0.3012182,0.09352506,0.096804135,0.020386584,0.06466998,0.11374871,0.026254486,0.011400958
THBS2,0.84275156,0.022591349,0.01140368,0.048141368,0.08180307,0.045451157,0.38125584,0.4809658,0.0495031,0.15663452,0.058991563,0.21597137,0.06250192,0.23328659,0.045210958,0.042059675,0.040707875
THBS3,0.34582517,0.3216103,0.10684383,0.1943212,0.122298144,0.3551229,0.31247395,0.40537056,0.15510637,0.15524882,0.59024906,0.38006595,0.27523208,0.19749929,0.35167593,0.23588216,0.16863565
THBS4,0.23794194,0.114430696,0.038983576,0.063154615,0.06097849,0.06654939,0.13608804,0.20885935,0.0,0.09627309,0.41833997,0.25158128,0.11505661,0.14901315,0.23845166,0.11059102,0.06366537
COMP,0.018906454,0.008875959,0.009515543,0.013063918,0.017670374,0.04179135,0.013225327,0.03874602,0.055209648,0.013156603,0.012663431,0.021722492,0.025970709,0.015067056,0.011441643,0.019836588,0.016765445
SPP1,1.0756629,0.036363244,0.01610758,0.022737583,0.026542934,0.004268683,0.5213975,0.07313868,4.5147142,0.967344,0.38269064,0.09173339,0.20536025,0.4126837,0.21425842,0.09818443,0.13567342
SPARC,4.3724117,3.0462162,0.6451362,1.8028057,0.26633105,2.4050472,3.9086094,4.4560637,1.0242722,6.057289,3.35651,3.0336294,0.42823687,1.7829243,4.267168,2.245942,0.3146887
POSTN,0.0130159175,0.029590834,0.0044215014,0.0025741928,0.03167299,0.0,0.010434942,1.2669191,0.055981707,0.89258945,0.051920902,0.08217136,0.06474253,0.018498112,0.015195067,0.0051254844,0.010068877
FBLN1,0.30770168,1.5957402,4.0061245,2.4714148,1.0793493,0.13698313,0.84728444,1.7565645,0.16639453,0.958694,2.8136394,1.0452486,0.5987738,0.28978455,5.1320477,2.697866,0.87186164
FBLN2,0.39929277,0.12418977,0.048857998,0.027284117,0.052446116,0.023743642,0.22975533,0.7098691,0.05591069,1.9352235,0.31032702,0.1821803,0.043528907,0.04386161,2.5338523,0.037477866,0.026616301
FBLN5,0.4046883,0.16478795,0.004362661,0.01591774,0.010782654,0.19763084,0.29835013,0.8229844,0.0,0.4439286,0.06520082,0.42404032,0.048601024,0.058752887,0.09088978,0.11400484,0.050683543
EFEMP1,0.61054033,0.51548296,0.005339289,0.00629437,0.0077833217,0.028602477,0.22072107,1.1899858,0.0,0.06600626,1.0463089,0.33261344,0.045576226,0.12822855,0.60185707,0.39194217,0.04630355
EFEMP2,1.9682883,0.3160353,0.36055288,0.33242977,0.13479494,0.003985838,1.2771709,2.488518,0.20898399,1.5025234,0.8112928,0.3496758,0.098903716,0.6349625,1.2858536,0.45393893,0.112313785
NID1,0.4279403,0.03600529,0.03384209,0.068750605,0.011174787,0.014803747,0.23576972,0.64004004,0.6183857,2.50945,0.7188234,0.104540296,0.02409952,0.07401107,0.9113122,0.15922303,0.016291901
NID2,0.01602836,0.37398478,0.0018083523,0.0041653826,0.0051767533,0.0,0.012243337,0.41824389,0.0,0.83769983,0.15770432,0.06450094,0.022700224,0.086937964,0.3410289,0.011846737,0.008226693
ELN,0.8487179,0.36459506,0.07351028,0.22017336,0.020044843,1.5422593,0.3302025,0.67603326,0.0,0.17423223,0.10440195,0.4533423,0.09394416,0.13945082,0.23214455,0.23893881,0.06656363
FBN1,0.27186093,0.6431658,0.054184433,0.07903925,0.027434893,0.005466126,0.1795722,1.1660993,0.0,0.82181,0.91026396,0.41552925,0.16024646,0.17195569,0.28517455,0.1512883,0.12539971
FBN2,0.2319392,0.4166481,0.07758496,0.13347413,0.017799063,0.2684347,0.19821902,0.7078842,0.10452534,0.2626067,1.495498,0.7117528,0.09625829,0.14839162,3.5272324,0.26063088,0.16708657
EMILIN1,0.20931034,0.04340864,0.010479607,0.02416229,0.035858333,0.013992888,0.09424489,1.1921897,0.0,0.41735762,0.14013204,0.0564658,0.026614016,0.037143473,0.42610544,0.037687864,0.029152079
